ID	Election	OfficeName	VoteFor	BallotGroup	OfficeSequence	CandidateID	CanFirstName	CanLastName	CanAffilCommit	County	Votes	PartyName	PartyAbbrev
1	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		ADAMS	165	GREEN	GRN
2	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		ALEXANDER	20	GREEN	GRN
3	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		BOND	60	GREEN	GRN
4	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		BOONE	98	GREEN	GRN
5	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		BROWN	24	GREEN	GRN
6	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		BUREAU	106	GREEN	GRN
7	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CALHOUN	27	GREEN	GRN
8	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CARROLL	45	GREEN	GRN
9	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CASS	46	GREEN	GRN
10	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CHAMPAIGN	897	GREEN	GRN
11	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CHRISTIAN	117	GREEN	GRN
12	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CLARK	32	GREEN	GRN
13	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CLAY	38	GREEN	GRN
14	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CLINTON	100	GREEN	GRN
15	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		COLES	159	GREEN	GRN
16	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		COOK	11332	GREEN	GRN
17	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CRAWFORD	54	GREEN	GRN
18	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		CUMBERLAND	48	GREEN	GRN
19	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		DeKALB	310	GREEN	GRN
20	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		DeWITT	65	GREEN	GRN
21	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		DOUGLAS	40	GREEN	GRN
22	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		DuPAGE	2011	GREEN	GRN
23	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		EDGAR	46	GREEN	GRN
24	GE 2012	PRESIDENT AND VICE PRESIDENT	1	A	1	18584	JILL	STEIN		EDWARDS	22	GREEN	GRN
