RaceTitle,CandidateName,Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,De Kalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Kansas City,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,Macon,Madison,Maries,Marion,McDonald,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,St. Charles,St. Clair,St. Francois,St. Louis City,St. Louis County,Ste. Genevieve,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright,
President  Vice President ,Barack Obama  Joe Biden - DEM ,4219 ,2649 ,756 ,3539 ,3667 ,1230 ,2557 ,2925 ,1213 ,39847 ,15594 ,4363 ,1312 ,6071 ,6458 ,9728 ,1154 ,754 ,17044 ,1537 ,1339 ,9813 ,1398 ,47310 ,3688 ,12005 ,2474 ,2951 ,939 ,2122 ,1125 ,1194 ,1585 ,1710 ,3636 ,16347 ,2099 ,937 ,46219 ,1212 ,984 ,3606 ,1733 ,551 ,1723 ,4395 ,1669 ,78283 ,12809 ,41564 ,7667 ,105670 ,698 ,4093 ,5655 ,4017 ,1508 ,7734 ,2041 ,1906 ,2309 ,1588 ,1299 ,4031 ,1920 ,353 ,2651 ,1858 ,1608 ,1398 ,1740 ,2773 ,2814 ,6425 ,3172 ,1419 ,1473 ,1261 ,2671 ,2184 ,5904 ,5798 ,2582 ,19175 ,3580 ,4199 ,587 ,1736 ,3031 ,4275 ,1157 ,1396 ,3790 ,697 ,643 ,5122 ,1302 ,966 ,71838 ,1460 ,8829 ,118780 ,297097 ,3813 ,3153 ,3923 ,908 ,5479 ,2871 ,2580 ,5219 ,3417 ,1813 ,4409 ,341 ,1953 ,
President  Vice President ,Mitt Romney  Paul Ryan - REP ,5651 ,5457 ,1902 ,6186 ,9832 ,4418 ,5020 ,6069 ,4095 ,37404 ,18660 ,12248 ,2721 ,11745 ,15092 ,25370 ,3072 ,1978 ,30912 ,4376 ,2402 ,27473 ,1730 ,56191 ,5931 ,24490 ,4887 ,6434 ,2895 ,4992 ,2290 ,3056 ,4883 ,4649 ,6850 ,29396 ,4895 ,1988 ,76900 ,3030 ,2624 ,6229 ,2835 ,1725 ,3017 ,11544 ,2252 ,93199 ,31349 ,53978 ,12763 ,29509 ,1205 ,10934 ,9803 ,11421 ,2677 ,14332 ,3344 ,4006 ,4701 ,3227 ,3165 ,7923 ,5694 ,1255 ,8099 ,2997 ,4704 ,2564 ,3490 ,5733 ,4284 ,18181 ,5593 ,2886 ,5329 ,3080 ,3598 ,5669 ,10842 ,11895 ,4577 ,25618 ,9252 ,9092 ,1673 ,3231 ,6667 ,5815 ,1931 ,3743 ,5104 ,1174 ,1246 ,11623 ,2262 ,2188 ,110784 ,3019 ,13248 ,22943 ,224742 ,4055 ,9496 ,11787 ,1610 ,15746 ,7618 ,5758 ,9150 ,5071 ,3790 ,10708 ,664 ,5830 ,
President  Vice President ,Gary Johnson  James P. Gray - LIB ,225 ,164 ,45 ,188 ,244 ,87 ,157 ,138 ,114 ,1948 ,702 ,238 ,109 ,353 ,332 ,560 ,62 ,49 ,798 ,104 ,66 ,566 ,79 ,1829 ,201 ,510 ,125 ,153 ,51 ,111 ,93 ,76 ,125 ,150 ,131 ,835 ,117 ,63 ,2362 ,106 ,67 ,240 ,88 ,31 ,115 ,322 ,89 ,2721 ,919 ,1715 ,501 ,1412 ,41 ,277 ,277 ,251 ,74 ,476 ,137 ,127 ,119 ,100 ,61 ,188 ,161 ,36 ,232 ,59 ,108 ,83 ,77 ,149 ,127 ,398 ,173 ,84 ,102 ,86 ,58 ,117 ,366 ,431 ,117 ,662 ,230 ,229 ,41 ,51 ,213 ,224 ,94 ,102 ,189 ,58 ,40 ,219 ,91 ,65 ,2709 ,115 ,448 ,1674 ,5748 ,169 ,187 ,236 ,51 ,349 ,215 ,142 ,248 ,157 ,103 ,245 ,40 ,129 ,
President  Vice President ,Virgil Goode  Jim Clymer - CST ,31 ,36 ,6 ,39 ,63 ,11 ,37 ,25 ,34 ,223 ,150 ,40 ,25 ,63 ,63 ,58 ,16 ,18 ,159 ,28 ,14 ,112 ,18 ,259 ,41 ,57 ,25 ,41 ,11 ,54 ,13 ,24 ,50 ,48 ,34 ,177 ,23 ,11 ,367 ,26 ,20 ,48 ,24 ,3 ,12 ,85 ,21 ,561 ,141 ,354 ,90 ,222 ,13 ,58 ,60 ,66 ,20 ,110 ,28 ,15 ,31 ,15 ,13 ,16 ,42 ,11 ,37 ,6 ,23 ,12 ,20 ,33 ,25 ,79 ,38 ,32 ,15 ,26 ,8 ,17 ,63 ,66 ,45 ,97 ,57 ,51 ,8 ,18 ,33 ,53 ,20 ,22 ,25 ,10 ,7 ,35 ,37 ,13 ,359 ,32 ,57 ,210 ,1089 ,33 ,30 ,38 ,26 ,85 ,60 ,41 ,59 ,50 ,14 ,67 ,3 ,43 ,
U. S. Senator ,Claire McCaskill - DEM ,5457 ,3952 ,1155 ,4640 ,5115 ,1802 ,3716 ,4083 ,2098 ,46332 ,20437 ,6783 ,1832 ,7968 ,9391 ,14390 ,1906 ,1211 ,22626 ,2332 ,1856 ,14312 ,1811 ,57654 ,4777 ,15394 ,3335 ,4240 ,1472 ,3072 ,1654 ,1950 ,2558 ,2486 ,5347 ,21826 ,2927 ,1463 ,59979 ,2032 ,1558 ,5119 ,2292 ,959 ,2298 ,6692 ,2252 ,94193 ,17485 ,51862 ,10197 ,110098 ,965 ,6273 ,7695 ,5830 ,2093 ,10225 ,2911 ,2877 ,3256 ,2360 ,1870 ,5281 ,2644 ,664 ,3912 ,2618 ,2394 ,1888 ,2331 ,3773 ,3966 ,8933 ,4656 ,2048 ,2359 ,1866 ,3498 ,3439 ,8246 ,8133 ,3449 ,23578 ,5226 ,6278 ,895 ,2248 ,4286 ,5439 ,1700 ,2147 ,5143 ,985 ,941 ,7627 ,1935 ,1424 ,90040 ,2101 ,11751 ,123000 ,335573 ,4758 ,5328 ,5699 ,1309 ,7834 ,4544 ,3810 ,6591 ,4648 ,2697 ,6363 ,515 ,2883 ,
U. S. Senator ,Todd Akin - REP ,4018 ,3664 ,1340 ,4420 ,7319 ,3551 ,3345 ,4277 ,3035 ,25431 ,11913 ,9079 ,1880 ,8664 ,10883 ,18913 ,1926 ,1400 ,21557 ,3205 ,1690 ,20383 ,1288 ,37967 ,4142 ,18918 ,3494 ,4654 ,2128 ,3514 ,1532 ,2015 ,3499 ,3498 ,4806 ,21281 ,3603 ,1235 ,55304 ,1912 ,1744 ,4066 ,1982 ,1169 ,2101 ,8340 ,1461 ,65714 ,24563 ,38745 ,8613 ,20660 ,905 ,7721 ,6663 ,8510 ,1982 ,10860 ,2170 ,2592 ,3444 ,2242 ,2312 ,6350 ,4667 ,813 ,6084 ,2098 ,3483 ,1917 ,2554 ,4190 ,2908 ,14574 ,3543 ,2095 ,3986 ,2202 ,2487 ,4012 ,7196 ,8579 ,3381 ,17870 ,6789 ,6094 ,1296 ,2596 ,4750 ,3960 ,1247 ,2771 ,3121 ,793 ,900 ,8514 ,1536 ,1667 ,82319 ,2132 ,9142 ,15385 ,164267 ,2735 ,6757 ,8769 ,1128 ,11940 ,5340 ,4171 ,7040 ,3486 ,2693 ,7739 ,449 ,4402 ,
U. S. Senator ,Jonathan Dine - LIB ,545 ,608 ,169 ,765 ,1170 ,346 ,637 ,699 ,292 ,6217 ,2446 ,848 ,422 ,1399 ,1579 ,1939 ,376 ,160 ,4179 ,432 ,234 ,2774 ,122 ,8631 ,870 ,2233 ,591 ,623 ,256 ,610 ,327 ,364 ,518 ,548 ,395 ,3178 ,493 ,272 ,9197 ,399 ,316 ,844 ,369 ,149 ,411 ,1210 ,289 ,12576 ,2713 ,6316 ,1959 ,4814 ,72 ,1219 ,1262 ,1252 ,147 ,1479 ,431 ,485 ,366 ,308 ,327 ,429 ,470 ,148 ,865 ,153 ,479 ,198 ,383 ,650 ,270 ,1374 ,698 ,261 ,470 ,338 ,160 ,392 ,1500 ,1252 ,466 ,3480 ,933 ,980 ,92 ,171 ,827 ,888 ,219 ,280 ,748 ,125 ,74 ,709 ,233 ,129 ,10924 ,390 ,1540 ,4081 ,21499 ,463 ,668 ,1281 ,163 ,1520 ,816 ,492 ,899 ,561 ,282 ,1200 ,78 ,590 ,
U. S. Senator ,William Dean - WI ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
U. S. Senator ,Bernard J. (Spark) Duraski  Jr. - WI ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
U. S. Senator ,Bernie Mowinski - WI ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
