                                                            Obama/Biden                                                                                                                                           Romney/Ryan                                                                                                                                           Johnson/Gray                                                                                                                                          Write-in                                                                                                                                              
County                        Registered Voters             Election Day                  One Stop                      Absentee by Mail              Provisional                   Choice Total                  Election Day                  One Stop                      Absentee by Mail              Provisional                   Choice Total                  Election Day                  One Stop                      Absentee by Mail              Provisional                   Choice Total                  Election Day                  One Stop                      Absentee by Mail              Provisional                   Choice Total                  Total                         
Alamance                      97107                         11519                         16278                         919                           159                           28875                         16772                         18537                         2727                          134                           38170                         364                           206                           24                            3                             597                           80                            45                            6                             3                             134                           67776                         
Alexander                     24368                         2008                          2461                          125                           17                            4611                          5435                          6280                          503                           35                            12253                         152                           98                            12                            1                             263                           39                            28                            2                             0                             69                            17196                         
Alleghany                     0                             531                           996                           49                            7                             1583                          1304                          1928                          150                           8                             3390                          32                            37                            4                             0                             73                            12                            7                             2                             0                             21                            5067                          
Anson                         0                             2109                          4667                          121                           122                           7019                          2435                          1570                          123                           38                            4166                          38                            15                            0                             0                             53                            11                            7                             0                             0                             18                            11256                         
Ashe                          0                             2048                          1876                          177                           15                            4116                          4374                          3373                          461                           34                            8242                          114                           63                            3                             0                             180                           47                            19                            6                             0                             72                            12610                         
Avery                         0                             1155                          617                           92                            18                            1882                          3899                          1535                          283                           49                            5766                          70                            16                            3                             0                             89                            10                            8                             1                             3                             22                            7759                          
Beaufort                      0                             3277                          5903                          227                           28                            9435                          6251                          7122                          567                           37                            13977                         83                            65                            8                             3                             159                           28                            21                            0                             0                             49                            23620                         
Bertie                        0                             2299                          3146                          1098                          152                           6695                          1573                          1261                          536                           17                            3387                          19                            12                            6                             0                             37                            2                             1                             1                             0                             4                             10123                         
Bladen                        0                             2452                          5236                          359                           15                            8062                          2955                          4445                          339                           9                             7748                          57                            56                            8                             0                             121                           16                            7                             3                             0                             26                            15957                         
Brunswick                     0                             6268                          15014                         694                           62                            22038                         10413                         22484                         1746                          100                           34743                         237                           213                           18                            1                             469                           51                            55                            5                             1                             112                           57362                         
Buncombe                      186210                        19718                         47971                         2631                          305                           70625                         17749                         33966                         2852                          134                           54701                         916                           728                           72                            5                             1721                          315                           292                           34                            8                             649                           127696                        
Burke                         0                             4981                          8245                          460                           15                            13701                         8359                          12865                         1009                          34                            22267                         225                           201                           18                            0                             444                           57                            66                            9                             0                             132                           36544                         
Cabarrus                      0                             14964                         16451                         1089                          345                           32849                         25862                         19694                         3689                          312                           49557                         634                           204                           35                            14                            887                           188                           67                            17                            1                             273                           83566                         
Caldwell                      0                             3613                          6882                          318                           85                            10898                         7467                          14755                         875                           132                           23229                         242                           222                           10                            5                             479                           68                            46                            11                            1                             126                           34732                         
Camden                        0                             636                           820                           47                            5                             1508                          1526                          1469                          107                           7                             3109                          37                            32                            3                             0                             72                            11                            2                             2                             0                             15                            4704                          
Carteret                      0                             3926                          5844                          461                           70                            10301                         9403                          13929                         1317                          126                           24775                         185                           126                           19                            2                             332                           56                            48                            5                             0                             109                           35517                         
Caswell                       15987                         2209                          3006                          127                           6                             5348                          3054                          2188                          343                           9                             5594                          55                            27                            2                             0                             84                            7                             4                             2                             0                             13                            11039                         
Catawba                       0                             8864                          14395                         738                           72                            24069                         18398                         23968                         2097                          75                            44538                         471                           267                           28                            4                             770                           134                           74                            13                            3                             224                           69601                         
Chatham                       0                             4509                          13187                         612                           53                            18361                         6047                          9862                          704                           52                            16665                         183                           139                           5                             3                             330                           33                            40                            5                             0                             78                            35434                         
Cherokee                      20130                         1569                          1653                          153                           3                             3378                          4632                          3992                          640                           14                            9278                          103                           46                            7                             0                             156                           26                            23                            6                             0                             55                            12867                         
Chowan                        0                             1010                          2391                          110                           45                            3556                          1318                          2372                          190                           11                            3891                          27                            16                            2                             0                             45                            7                             5                             0                             1                             13                            7505                          
Clay                          9072                          499                           1022                          56                            2                             1579                          1470                          2321                          167                           15                            3973                          41                            25                            1                             0                             67                            13                            7                             2                             1                             23                            5642                          
Cleveland                     0                             6456                          9942                          352                           312                           17062                         13563                         10838                         1095                          297                           25793                         244                           107                           17                            8                             376                           75                            26                            5                             3                             109                           43340                         
Columbus                      37811                         4000                          6757                          248                           45                            11050                         7166                          5286                          433                           56                            12941                         113                           60                            9                             2                             184                           42                            24                            2                             0                             68                            24243                         
Craven                        0                             5582                          12253                         835                           93                            18763                         9270                          15791                         1708                          159                           26928                         207                           146                           29                            3                             385                           52                            35                            7                             0                             94                            46170                         
Cumberland                    215084                        21579                         51542                         2076                          595                           75792                         22449                         25273                         2648                          296                           50666                         536                           340                           39                            12                            927                           151                           87                            15                            3                             256                           127641                        
Currituck                     0                             2229                          1184                          118                           31                            3562                          5024                          2101                          324                           47                            7496                          169                           26                            6                             3                             204                           30                            8                             4                             0                             42                            11304                         
Dare                          0                             3938                          3045                          371                           39                            7393                          5689                          3859                          645                           55                            10248                         181                           59                            16                            1                             257                           42                            29                            5                             0                             76                            17974                         
Davidson                      0                             9494                          10261                         803                           66                            20624                         21980                         23431                         3842                          130                           49383                         498                           226                           48                            4                             776                           101                           41                            10                            0                             152                           70935                         
Davie                         0                             2266                          3203                          224                           42                            5735                          6256                          7604                          779                           48                            14687                         126                           65                            7                             1                             199                           28                            15                            6                             0                             49                            20670                         
Duplin                        0                             3858                          4880                          198                           97                            9033                          6720                          4267                          361                           68                            11416                         73                            43                            6                             0                             122                           14                            6                             0                             1                             21                            20592                         
Durham                        0                             26763                         80198                         3051                          1212                          111224                        11066                         20724                         1798                          181                           33769                         674                           612                           47                            18                            1351                          187                           184                           13                            7                             391                           146735                        
Edgecombe                     0                             4906                          13222                         144                           38                            18310                         3984                          4314                          225                           23                            8546                          55                            28                            0                             0                             83                            14                            18                            1                             0                             33                            26972                         
Forsyth                       0                             28921                         58768                         4314                          320                           92323                         31494                         38421                         9678                          175                           79768                         899                           543                           122                           5                             1569                          246                           129                           34                            0                             409                           174069                        
Franklin                      0                             4638                          8515                          199                           84                            13436                         7587                          6364                          586                           66                            14603                         173                           84                            7                             4                             268                           59                            19                            4                             0                             82                            28389                         
Gaston                        0                             10494                         21511                         973                           193                           33171                         19240                         32572                         4107                          219                           56138                         484                           400                           40                            3                             927                           129                           99                            16                            3                             247                           90483                         
Gates                         0                             1321                          1376                          49                            40                            2786                          1728                          718                           93                            25                            2564                          27                            6                             0                             0                             33                            8                             4                             1                             0                             13                            5396                          
Graham                        6674                          485                           578                           53                            3                             1119                          1347                          1261                          138                           4                             2750                          28                            24                            1                             0                             53                            21                            4                             0                             0                             25                            3947                          
Granville                     36776                         3627                          9692                          234                           45                            13598                         4916                          6966                          479                           44                            12405                         119                           81                            8                             0                             208                           32                            31                            0                             1                             64                            26275                         
Greene                        11429                         1155                          2547                          69                            7                             3778                          2138                          2123                          138                           12                            4411                          20                            20                            0                             0                             40                            2                             5                             0                             0                             7                             8236                          
Guilford                      362094                        43098                         98825                         4227                          215                           146365                        36315                         60664                         7713                          97                            104789                        1152                          864                           83                            6                             2105                          303                           258                           32                            0                             593                           253852                        
Halifax                       38121                         5669                          10966                         311                           230                           17176                         4555                          3838                          311                           59                            8763                          75                            30                            3                             2                             110                           19                            10                            1                             0                             30                            26079                         
Harnett                       0                             6807                          9732                          534                           258                           17331                         11546                         12282                         1556                          181                           25565                         246                           156                           22                            5                             429                           51                            32                            6                             1                             90                            43415                         
Haywood                       0                             4921                          6458                          433                           21                            11833                         6923                          7922                          768                           20                            15633                         241                           130                           15                            1                             387                           69                            42                            9                             1                             121                           27974                         
Henderson                     0                             6594                          11030                         1006                          12                            18642                         12010                         18571                         2392                          21                            32994                         317                           233                           38                            1                             589                           96                            54                            17                            0                             167                           52392                         
Hertford                      0                             2754                          4906                          156                           27                            7843                          1670                          1240                          91                            6                             3007                          36                            18                            2                             0                             56                            9                             2                             1                             0                             12                            10918                         
Hoke                          29868                         3018                          6712                          261                           85                            10076                         3048                          3396                          330                           45                            6819                          100                           60                            6                             1                             167                           18                            7                             1                             1                             27                            17089                         
Hyde                          3680                          758                           356                           45                            4                             1163                          856                           275                           52                            10                            1193                          14                            6                             1                             1                             22                            4                             1                             0                             0                             5                             2383                          
Iredell                       0                             10014                         14946                         1049                          67                            26076                         21832                         23507                         3854                          106                           49299                         479                           218                           48                            2                             747                           151                           80                            12                            0                             243                           76365                         
Jackson                       27998                         3071                          4715                          286                           23                            8095                          3627                          4284                          329                           14                            8254                          165                           107                           8                             1                             281                           35                            29                            7                             0                             71                            16701                         
Johnston                      0                             10058                         16491                         531                           210                           27290                         22651                         23610                         1992                          174                           48427                         452                           286                           27                            3                             768                           117                           77                            9                             3                             206                           76691                         
Jones                         0                             1197                          1080                          59                            16                            2352                          1569                          1137                          120                           11                            2837                          22                            10                            0                             0                             32                            6                             3                             0                             0                             9                             5230                          
Lee                           0                             2705                          7624                          295                           177                           10801                         4058                          8446                          546                           108                           13158                         106                           114                           4                             1                             225                           29                            22                            3                             1                             55                            24239                         
Lenoir                        40086                         4212                          9308                          301                           127                           13948                         4802                          8566                          563                           49                            13980                         77                            53                            6                             0                             136                           9                             12                            1                             0                             22                            28086                         
Lincoln                       0                             4731                          5933                          325                           35                            11024                         11709                         12379                         1126                          53                            25267                         243                           114                           12                            0                             369                           58                            51                            6                             0                             115                           36775                         
Macon                         25208                         2071                          3339                          291                           11                            5712                          4361                          5764                          694                           16                            10835                         140                           95                            6                             0                             241                           40                            30                            3                             0                             73                            16861                         
Madison                       0                             1935                          2365                          173                           11                            4484                          2419                          2697                          268                           20                            5404                          111                           63                            3                             1                             178                           28                            18                            1                             0                             47                            10113                         
Martin                        0                             2673                          3752                          99                            59                            6583                          3796                          1997                          178                           24                            5995                          43                            20                            1                             0                             64                            8                             2                             0                             0                             10                            12652                         
McDowell                      28911                         2474                          3389                          147                           21                            6031                          5055                          6289                          396                           35                            11775                         127                           84                            4                             0                             215                           42                            36                            0                             0                             78                            18099                         
Mecklenburg                   0                             97927                         162963                        10356                         1016                          272262                        72912                         80064                         18226                         466                           171668                        2406                          1248                          244                           22                            3920                          627                           319                           97                            7                             1050                          448900                        
Mitchell                      0                             682                           1034                          111                           11                            1838                          2367                          3056                          364                           19                            5806                          42                            40                            3                             3                             88                            17                            13                            2                             1                             33                            7765                          
Montgomery                    16540                         2682                          1905                          104                           15                            4706                          3862                          2194                          337                           11                            6404                          72                            25                            3                             0                             100                           13                            6                             2                             0                             21                            11231                         
Moore                         0                             5900                          9634                          857                           114                           16505                         12177                         14762                         2423                          133                           29495                         195                           120                           22                            5                             342                           48                            22                            2                             1                             73                            46415                         
Nash                          0                             7595                          16189                         461                           68                            24313                         9385                          13466                         959                           32                            23842                         161                           78                            14                            1                             254                           45                            32                            6                             0                             83                            48492                         
New Hanover                   0                             16639                         29865                         1838                          326                           48668                         20006                         29324                         3792                          263                           53385                         737                           467                           42                            13                            1259                          198                           97                            16                            5                             316                           103628                        
Northampton                   15533                         2545                          4508                          158                           21                            7232                          2048                          1291                          136                           8                             3483                          19                            15                            1                             0                             35                            5                             1                             0                             0                             6                             10756                         
Onslow                        0                             6213                          11383                         600                           294                           18490                         14266                         15865                         1671                          441                           32243                         332                           194                           19                            11                            556                           90                            46                            8                             2                             146                           51435                         
Orange                        0                             13311                         37807                         2673                          110                           53901                         8788                          11622                         1088                          41                            21539                         515                           501                           36                            4                             1056                          122                           120                           17                            2                             261                           76757                         
Pamlico                       9600                          879                           1631                          127                           10                            2647                          1612                          2259                          166                           14                            4051                          19                            25                            5                             0                             49                            7                             7                             1                             0                             15                            6762                          
Pasquotank                    0                             2762                          7203                          229                           88                            10282                         2619                          4591                          382                           41                            7633                          85                            63                            8                             4                             160                           17                            15                            0                             0                             32                            18107                         
Pender                        0                             2745                          6443                          291                           153                           9632                          4156                          9529                          712                           220                           14617                         92                            117                           6                             3                             218                           34                            23                            2                             1                             60                            24527                         
Perquimans                    0                             1069                          1595                          90                            5                             2759                          1638                          2028                          153                           3                             3822                          29                            30                            1                             0                             60                            7                             4                             0                             0                             11                            6652                          
Person                        0                             2323                          5952                          117                           26                            8418                          3543                          6670                          269                           14                            10496                         69                            85                            3                             0                             157                           18                            16                            1                             0                             35                            19106                         
Pitt                          0                             12156                         27463                         1177                          1047                          41843                         13096                         21073                         1455                          590                           36214                         324                           245                           16                            24                            609                           107                           76                            3                             4                             190                           78856                         
Polk                          0                             1002                          2763                          242                           6                             4013                          2130                          3674                          422                           10                            6236                          49                            52                            6                             1                             108                           16                            16                            0                             0                             32                            10389                         
Randolph                      0                             12640                         1714                          391                           28                            14773                         35446                         7492                          2165                          57                            45160                         532                           64                            29                            2                             627                           122                           25                            8                             0                             155                           60715                         
Richmond                      30886                         3874                          5711                          164                           155                           9904                          4495                          4478                          276                           83                            9332                          78                            60                            6                             1                             145                           22                            14                            0                             0                             36                            19417                         
Robeson                       0                             11558                         12164                         316                           950                           24988                         11795                         4906                          446                           363                           17510                         240                           84                            6                             6                             336                           74                            35                            0                             3                             112                           42946                         
Rockingham                    60815                         6390                          9476                          349                           136                           16351                         11258                         12581                         1264                          124                           25227                         204                           119                           22                            5                             350                           61                            29                            1                             1                             92                            42020                         
Rowan                         0                             8654                          13200                         700                           96                            22650                         17448                         18858                         2369                          100                           38775                         423                           208                           21                            3                             655                           156                           72                            3                             1                             232                           62312                         
Rutherford                    0                             3628                          5396                          262                           88                            9374                          8150                          9833                          836                           135                           18954                         187                           98                            14                            1                             300                           40                            26                            6                             2                             74                            28702                         
Sampson                       0                             4302                          7021                          196                           47                            11566                         7393                          6451                          532                           46                            14422                         86                            64                            1                             0                             151                           24                            9                             2                             0                             35                            26174                         
Scotland                      0                             2584                          5425                          143                           63                            8215                          2577                          2990                          242                           22                            5831                          62                            26                            3                             0                             91                            12                            6                             1                             0                             19                            14156                         
Stanly                        0                             3342                          4747                          222                           120                           8431                          8117                          10836                         780                           171                           19904                         178                           102                           12                            6                             298                           48                            32                            4                             0                             84                            28717                         
Stokes                        0                             2991                          2756                          233                           38                            6018                          8202                          6185                          782                           68                            15237                         197                           80                            8                             1                             286                           59                            18                            1                             0                             78                            21619                         
Surry                         44829                         3293                          5206                          527                           86                            9112                          7874                          10221                         1697                          131                           19923                         169                           151                           18                            9                             347                           41                            33                            14                            0                             88                            29470                         
Swain                         0                             1114                          1426                          78                            0                             2618                          1402                          1443                          131                           0                             2976                          63                            47                            1                             0                             111                           13                            7                             3                             0                             23                            5728                          
Transylvania                  0                             1985                          4481                          279                           81                            6826                          3694                          5360                          475                           105                           9634                          101                           93                            14                            7                             215                           33                            46                            9                             0                             88                            16763                         
Tyrrell                       0                             435                           383                           17                            2                             837                           415                           482                           33                            0                             930                           7                             4                             0                             0                             11                            5                             0                             0                             0                             5                             1783                          
Union                         0                             10821                         20088                         1350                          214                           32473                         22913                         33487                         4471                          236                           61107                         523                           338                           41                            4                             906                           139                           91                            11                            1                             242                           94728                         
Vance                         30791                         3808                          9249                          235                           31                            13323                         2645                          4479                          283                           22                            7429                          48                            28                            2                             0                             78                            19                            3                             2                             0                             24                            20854                         
Wake                          0                             97520                         159123                        9510                          1109                          267262                        97528                         98101                         15364                         603                           211596                        3772                          2075                          299                           25                            6171                          844                           475                           71                            8                             1398                          486427                        
Warren                        0                             2139                          4595                          173                           71                            6978                          1635                          1344                          148                           13                            3140                          11                            20                            2                             0                             33                            5                             4                             2                             0                             11                            10162                         
Washington                    0                             1331                          2403                          77                            22                            3833                          1184                          1359                          72                            7                             2622                          16                            11                            3                             0                             30                            5                             8                             1                             0                             14                            6499                          
Watauga                       0                             4316                          8061                          605                           20                            13002                         6346                          6823                          665                           27                            13861                         332                           275                           12                            4                             623                           91                            91                            6                             0                             188                           27674                         
Wayne                         0                             5842                          16863                         477                           132                           23314                         8085                          18366                         1113                          77                            27641                         143                           144                           11                            1                             299                           37                            55                            6                             0                             98                            51352                         
Wilkes                        42471                         3890                          3883                          331                           44                            8148                          10845                         8567                          1018                          85                            20515                         213                           121                           21                            2                             357                           81                            38                            6                             0                             125                           29145                         
Wilson                        55919                         6514                          13897                         351                           113                           20875                         7409                          9667                          847                           31                            17954                         149                           83                            9                             1                             242                           24                            9                             5                             0                             38                            39109                         
Yadkin                        0                             2493                          1257                          182                           25                            3957                          8274                          3612                          645                           47                            12578                         170                           43                            16                            2                             231                           34                            11                            2                             0                             47                            16813                         
Yancey                        0                             1628                          2055                          273                           25                            3981                          2373                          2525                          354                           26                            5278                          85                            43                            12                            0                             140                           36                            15                            1                             0                             52                            9451                          
