elec_date,county_name,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10001,FOR PRESIDENT AND VICE PRESIDENT,,17,17,1,BARACK OBAMA,DEM,200,151,1776,2127
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10001,FOR PRESIDENT AND VICE PRESIDENT,,17,17,2,MITT ROMNEY,REP,196,302,3883,4381
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10005,FOR UNITED STATES REPRESENTATIVE DISTRICT 02,,17,17,1,ROB WALLACE,DEM,156,160,1696,2012
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10005,FOR UNITED STATES REPRESENTATIVE DISTRICT 02,,17,17,2,MARKWAYNE MULLIN,REP,240,280,3779,4299
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10005,FOR UNITED STATES REPRESENTATIVE DISTRICT 02,,17,17,3,MICHAEL G. FULKS,IND,12,15,176,203
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10010,FOR STATE SENATOR DISTRICT 3,,17,17,1,JIM BYNUM,DEM,265,231,2837,3333
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10010,FOR STATE SENATOR DISTRICT 3,,17,17,2,WAYNE SHAW,REP,144,224,2786,3154
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10118,FOR STATE REPRESENTATIVE DISTRICT 86,,17,17,1,WILL FOURKILLER,DEM,331,344,4072,4747
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",10118,FOR STATE REPRESENTATIVE DISTRICT 86,,17,17,2,RUSSELL DON TURNER,REP,83,111,1584,1778
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",20013,FOR COUNTY CLERK,,17,17,1,DANYA CURTIS,DEM,338,244,3328,3910
11/06/2012,ADAIR,"FEDERAL, STATE AND COUNTY",20013,FOR COUNTY CLERK,,17,17,2,DONNA PICKLE,REP,89,207,2302,2598
