"","fips","Hillary Clinton","Donald Trump","Jill Stein","Gary Johnson","Third","diff"
"1","10001",33347,36989,1041,2876,3917,-3642
"2","10003",162905,85507,3955,9101,13056,77398
"3","10005",39329,62607,1104,2774,3878,-23278
"4","1001",5908,18110,105,538,643,-12202
"5","1003",18409,72780,453,2448,2901,-54371
"6","1005",4848,5431,18,93,111,-583
"7","1007",1874,6733,17,124,141,-4859
"8","1009",2150,22808,89,337,426,-20658
"9","1011",3530,1139,10,22,32,2391
"10","1013",3716,4891,13,65,78,-1175
"11","1015",13197,32803,262,1114,1376,-19606
"12","1017",5763,7803,44,168,212,-2040
"13","1019",1524,8809,25,145,170,-7285
"14","1021",2909,15068,52,226,278,-12159
"15","1023",3109,4102,6,51,57,-993
"16","1025",5712,7109,17,98,115,-1397
"17","1027",1234,5230,16,92,108,-3996
"18","1029",684,5738,20,90,110,-5054
"19","1031",4194,15825,102,392,494,-11631
"20","1033",7296,16718,106,506,612,-9422
"21","1035",3069,3413,10,51,61,-344
"22","1037",1780,3376,14,53,67,-1596
"23","1039",2379,13222,36,181,217,-10843
"24","1041",1663,4511,14,64,78,-2848
"25","1043",3730,32734,132,682,814,-29004
"26","1045",4408,13798,62,349,411,-9390
"27","1047",12826,5784,24,96,120,7042
"28","1049",3682,21779,156,469,625,-18097
"29","1051",8436,27619,112,738,850,-19183
"30","1053",4698,10282,38,195,233,-5584
"31","1055",10350,32132,163,829,992,-21782
"32","1057",1358,6705,24,109,133,-5347
"33","1059",2197,9466,54,238,292,-7269
"34","1061",1522,9967,23,147,170,-8445
"35","1063",4006,838,5,13,18,3168
"36","1065",4772,3172,12,54,66,1600
"37","1067",2286,5623,17,91,108,-3337
"38","1069",10547,30567,144,772,916,-20020
"39","1071",3663,16643,90,389,479,-12980
"40","1073",151581,130614,1509,6407,7916,20967
"41","1075",1035,5819,15,62,77,-4784
"42","1077",9877,27735,220,981,1201,-17858
"43","1079",3611,10732,31,249,280,-7121
"44","1081",20987,34321,362,1998,2360,-13334
"45","1083",9340,28824,200,1036,1236,-19484
"46","1085",4882,1751,11,32,43,3131
"47","1087",7237,1394,48,69,117,5843
"48","1089",62435,89199,1248,6591,7839,-26764
"49","1091",5607,5224,13,104,117,383
"50","1093",1432,11273,26,181,207,-9841
"51","1095",4913,29217,158,677,835,-24304
"52","1097",68429,91087,758,3113,3871,-22658
"53","1099",4310,5771,16,88,104,-1461
"54","11001",260223,11553,3995,4501,8496,248670
"55","1101",58669,33928,489,1486,1975,24741
"56","1103",11216,37392,218,1165,1383,-26176
"57","1105",3823,1403,6,23,29,2420
"58","1107",3972,5454,19,49,68,-1482
"59","1109",5039,7681,48,257,305,-2642
"60","1111",2290,7697,19,124,143,-5407
"61","1113",9577,9210,68,281,349,367
"62","1115",5550,31579,130,678,808,-26029
"63","1117",22927,72846,479,2956,3435,-49919
"64","1119",4739,1581,14,57,71,3158
"65","1121",12108,20596,105,409,514,-8488
"66","1123",5271,12967,49,217,266,-7696
"67","1125",31746,47701,390,1871,2261,-15955
"68","1127",4486,24208,95,454,549,-19722
"69","1129",2366,6031,22,73,95,-3665
"70","1131",4329,1737,7,22,29,2592
"71","1133",871,9225,29,130,159,-8354
"72","12001",75370,46584,1493,4032,5525,28786
"73","12003",2112,10294,30,169,199,-8182
"74","12005",21689,62010,561,2643,3204,-40321
"75","12007",2924,8913,47,177,224,-5989
"76","12009",119525,181620,2701,9435,12136,-62095
"77","12011",546956,258521,4992,10897,15889,288435
"78","12013",1236,4647,25,124,149,-3411
"79","12015",33421,60196,567,1944,2511,-26775
"80","12017",22765,54377,476,1722,2198,-31612
"81","12019",27768,74898,571,2805,3376,-47130
"82","12021",60941,105297,742,3256,3998,-44356
"83","12023",7599,20359,150,523,673,-12760
"84","12027",3761,6744,50,166,216,-2983
"85","12029",1270,5822,21,77,98,-4552
"86","12031",203627,210061,2874,11112,13986,-6434
"87","12033",57114,88370,1045,4554,5599,-31256
"88","12035",21985,33804,388,1111,1499,-11819
"89","12037",1738,4119,33,95,128,-2381
"90","12039",14994,6721,78,228,306,8273
"91","12041",1457,6740,43,154,197,-5283
"92","12043",1271,2996,18,54,72,-1725
"93","12045",1715,5320,27,195,222,-3605
"94","12047",1899,3439,17,79,96,-1540
"95","12049",2147,5238,24,140,164,-3091
"96","12051",4610,6192,52,206,258,-1582
"97","12053",31818,59029,710,2050,2760,-27211
"98","12055",14901,29509,186,850,1036,-14608
"99","12057",306422,265928,4994,15598,20592,40494
"100","12059",852,7476,19,133,152,-6624
"101","12061",28997,48564,417,1717,2134,-19567
"102","12063",6383,14231,59,266,325,-7848
"103","12065",3537,3930,42,110,152,-393
"104","12067",515,2795,10,47,57,-2280
"105","12069",62597,101888,970,3969,4939,-39291
"106","12071",124725,191141,2116,6967,9083,-66416
"107","12073",91936,53777,1360,4395,5755,38159
"108","12075",5091,13758,102,358,460,-8667
"109","12077",651,2542,17,76,93,-1891
"110","12079",3526,4849,22,95,117,-1323
"111","12081",71066,101681,1147,4169,5316,-30615
"112","12083",61958,107710,972,3361,4333,-45752
"113","12085",30158,53182,473,1803,2276,-23024
"114","12086",623006,333666,5965,13183,19148,289340
"115","12087",18949,21885,398,1129,1527,-2936
"116","12089",10849,34221,186,1192,1378,-23372
"117","12091",23711,71788,606,4155,4761,-48077
"118","12093",3953,9342,53,233,286,-5389
"119","12095",329579,195091,4769,14470,19239,134488
"120","12097",85287,50252,999,2810,3809,35035
"121","12099",371411,270762,3689,10229,13918,100649
"122","12101",89998,141943,1901,6122,8023,-51945
"123","12103",233327,238746,4595,13603,18198,-5419
"124","12105",117182,157216,1645,6798,8443,-40034
"125","12107",9920,21873,213,578,791,-11953
"126","12109",43037,88633,860,3608,4468,-45596
"127","12111",66812,70248,865,2471,3336,-3436
"128","12113",18398,65126,522,3094,3616,-46728
"129","12115",97676,124098,1591,4707,6298,-26422
"130","12117",105611,109265,1966,6793,8759,-3654
"131","12119",22631,52722,201,971,1172,-30091
"132","12121",3955,14281,80,307,387,-10326
"133","12123",2149,6923,33,150,183,-4774
"134","12125",1014,4567,12,90,102,-3553
"135","12127",108793,142763,2000,6103,8103,-33970
"136","12129",4348,10507,66,377,443,-6159
"137","12131",6861,25695,142,781,923,-18834
"138","12133",2261,8630,21,191,212,-6369
"139","13001",1434,5492,NA,77,NA,-4058
"140","13003",696,1873,NA,35,NA,-1177
"141","13005",607,3356,NA,47,NA,-2749
"142","13007",650,775,NA,15,NA,-125
"143","13009",7965,7691,NA,419,NA,274
"144","13011",684,6130,NA,132,NA,-5446
"145","13013",6580,21105,NA,1143,NA,-14525
"146","13015",8204,29879,NA,1180,NA,-21675
"147","13017",2098,3734,NA,91,NA,-1636
"148","13019",1041,5408,NA,114,NA,-4367
"149","13021",34383,22589,NA,1355,NA,11794
"150","13023",1094,3717,NA,123,NA,-2623
"151","13025",619,5561,NA,105,NA,-4942
"152","13027",2504,3679,NA,85,NA,-1175
"153","13029",4010,10513,NA,540,NA,-6503
"154","13031",8812,14476,NA,863,NA,-5664
"155","13033",4730,4491,NA,129,NA,239
"156","13035",2566,6717,NA,194,NA,-4151
"157","13037",1178,829,NA,16,NA,349
"158","13039",5914,12287,NA,624,NA,-6373
"159","13043",1023,2661,NA,73,NA,-1638
"160","13045",12422,29983,NA,1339,NA,-17561
"161","13047",4769,20860,NA,881,NA,-16091
"162","13049",1004,2950,NA,54,NA,-1946
"163","13051",58998,43649,NA,3366,NA,15349
"164","13053",593,746,NA,45,NA,-153
"165","13055",1612,6457,NA,177,NA,-4845
"166","13057",25203,80611,NA,5011,NA,-55408
"167","13059",29514,12691,NA,2016,NA,16823
"168","13061",697,566,NA,8,NA,131
"169","13063",75908,11740,NA,1588,NA,64168
"170","13065",685,1724,NA,34,NA,-1039
"171","13067",159416,152602,NA,14406,NA,6814
"172","13069",4090,9575,NA,231,NA,-5485
"173","13071",3460,9892,NA,240,NA,-6432
"174","13073",18863,43060,NA,2267,NA,-24197
"175","13075",1752,4175,NA,111,NA,-2423
"176","13077",16572,42513,NA,2230,NA,-25941
"177","13079",1419,3632,NA,106,NA,-2213
"178","13081",2835,4539,NA,126,NA,-1704
"179","13083",965,5047,NA,226,NA,-4082
"180","13085",1444,9880,NA,356,NA,-8436
"181","13087",4104,6009,NA,125,NA,-1905
"182","13089",239131,47531,NA,9209,NA,191600
"183","13091",1836,5021,NA,138,NA,-3185
"184","13093",1860,1941,NA,35,NA,-81
"185","13095",23224,10227,NA,474,NA,12997
"186","13097",30971,24803,NA,1591,NA,6168
"187","13099",2165,2552,NA,65,NA,-387
