"","FIPS","HRC","DJT","JS","GJ","Third","diff","total","pctHRC","pctDJT","pctDiff"
"1","10001",33347,36989,1041,2876,3917,-3642,74253,44.9099699675434,49.8148222967422,-4.90485232919881
"2","10003",162905,85507,3955,9101,13056,77398,261468,62.3039913106001,32.70266342344,29.6013278871602
"3","10005",39329,62607,1104,2774,3878,-23278,105814,37.1680495964617,59.1670289375697,-21.998979341108
"4","1001",5908,18110,105,538,643,-12202,24661,23.9568549531649,73.435789302948,-49.478934349783
"5","1003",18409,72780,453,2448,2901,-54371,94090,19.5653098097566,77.3514719948985,-57.7861621851419
"6","1005",4848,5431,18,93,111,-583,10390,46.660250240616,52.2714148219442,-5.6111645813282
"7","1007",1874,6733,17,124,141,-4859,8748,21.4220393232739,76.9661636945588,-55.5441243712849
"8","1009",2150,22808,89,337,426,-20658,25384,8.46990230066183,89.8518751969745,-81.3819728963126
"9","1011",3530,1139,10,22,32,2391,4701,75.0904062965326,24.2288874707509,50.8615188257817
"10","1013",3716,4891,13,65,78,-1175,8685,42.7864133563615,56.3154864709269,-13.5290731145653
"11","1015",13197,32803,262,1114,1376,-19606,47376,27.8558763931104,69.2396994258696,-41.3838230327592
"12","1017",5763,7803,44,168,212,-2040,13778,41.8275511685295,56.6337639715488,-14.8062128030193
"13","1019",1524,8809,25,145,170,-7285,10503,14.5101399600114,83.8712748738456,-69.3611349138341
"14","1021",2909,15068,52,226,278,-12159,18255,15.9353601752944,82.5417693782525,-66.6064092029581
"15","1023",3109,4102,6,51,57,-993,7268,42.7765547605944,56.4391854705559,-13.6626307099615
"16","1025",5712,7109,17,98,115,-1397,12936,44.1558441558442,54.9551638837353,-10.7993197278912
"17","1027",1234,5230,16,92,108,-3996,6572,18.776628119294,79.5800365185636,-60.8034083992696
"18","1029",684,5738,20,90,110,-5054,6532,10.4715248009798,87.8444580526638,-77.372933251684
"19","1031",4194,15825,102,392,494,-11631,20513,20.4455711012529,77.1461999707502,-56.7006288694974
"20","1033",7296,16718,106,506,612,-9422,24626,29.6272232599691,67.8875984731584,-38.2603752131893
"21","1035",3069,3413,10,51,61,-344,6543,46.9050894085282,52.1626165367568,-5.25752712822864
"22","1037",1780,3376,14,53,67,-1596,5223,34.0800306337354,64.6371816963431,-30.5571510626077
"23","1039",2379,13222,36,181,217,-10843,15818,15.0398280440005,83.5883171070932,-68.5484890630927
"24","1041",1663,4511,14,64,78,-2848,6252,26.5994881637876,72.1529110684581,-45.5534229046705
"25","1043",3730,32734,132,682,814,-29004,37278,10.0059016041633,87.8105048554107,-77.8046032512474
"26","1045",4408,13798,62,349,411,-9390,18617,23.6772842026105,74.1150561314927,-50.4377719288822
"27","1047",12826,5784,24,96,120,7042,18730,68.4783769353978,30.8809396689802,37.5974372664175
"28","1049",3682,21779,156,469,625,-18097,26086,14.1148508778655,83.4892279383577,-69.3743770604922
"29","1051",8436,27619,112,738,850,-19183,36905,22.8586912342501,74.8380978187238,-51.9794065844737
"30","1053",4698,10282,38,195,233,-5584,15213,30.8814829422205,67.5869322290147,-36.7054492867942
"31","1055",10350,32132,163,829,992,-21782,43474,23.8073331186456,73.9108432626397,-50.1035101439941
"32","1057",1358,6705,24,109,133,-5347,8196,16.5690580771108,81.8081991215227,-65.2391410444119
"33","1059",2197,9466,54,238,292,-7269,11955,18.3772480133835,79.1802593057298,-60.8030112923463
"34","1061",1522,9967,23,147,170,-8445,11659,13.0542928209967,85.4876061411785,-72.4333133201818
"35","1063",4006,838,5,13,18,3168,4862,82.3940765117236,17.2357054709996,65.158371040724
"36","1065",4772,3172,12,54,66,1600,8010,59.5755305867665,39.6004993757803,19.9750312109863
"37","1067",2286,5623,17,91,108,-3337,8017,28.5144068853686,70.1384557814644,-41.6240488960958
